app_id,category_id
ef0b825b-76b4-4403-9823-7b48afac654e,d4a7b81179bf2cc41b070376832e2d5c
ef0b825b-76b4-4403-9823-7b48afac654e,55c212402c5065b676ae33b0493f6be8
ef0b825b-76b4-4403-9823-7b48afac654e,42cfc5ceec59ad871f5f1b0b8e6683c5
ef0b825b-76b4-4403-9823-7b48afac654e,838a62da55e284febd37c469fab61cb2
ef0b825b-76b4-4403-9823-7b48afac654e,bff139fa05ac583f685a523ab3d110a0
ef0b825b-76b4-4403-9823-7b48afac654e,ab4f3ccba74857c5f2ba0d5b7dbf65e1
ef0b825b-76b4-4403-9823-7b48afac654e,f6d7022d02ebecf3d3b12aacad4ef7a3
ef0b825b-76b4-4403-9823-7b48afac654e,437175ba4191210ee004e1d937494d09
ef0b825b-76b4-4403-9823-7b48afac654e,bf57c906fa7d2bb66d07372e41585d96
ef0b825b-76b4-4403-9823-7b48afac654e,59b514174bffe4ae402b3d63aad79fe0
ef0b825b-76b4-4403-9823-7b48afac654e,adcdbd79a8d84175c229b192aadc02f2
ef0b825b-76b4-4403-9823-7b48afac654e,2c92b7d273fcc86926be1afb1c40335f
ef0b825b-76b4-4403-9823-7b48afac654e,e907544e9df7140708b309d63b376864
ef0b825b-76b4-4403-9823-7b48afac654e,4769d8fcc6c3a668a157ff37a8cc444c
ef0b825b-76b4-4403-9823-7b48afac654e,909866cc550cc3f430e45bfb4f330fc6
ef0b825b-76b4-4403-9823-7b48afac654e,5ebeb6065f64f2346dbb00ab789cf001
ef0b825b-76b4-4403-9823-7b48afac654e,e73a15af1ff7b33d4b70907bde58bd9e
c86a1c57-d708-437d-b21b-250bac1971f3,311ae7d3f1af993400e4c27e32320ab3
c86a1c57-d708-437d-b21b-250bac1971f3,cda17e17068084e94b20821f781f4345
5ebc36fe-934b-4875-bcad-fb11185361e9,8e5289f6aef3aa60aea0824b4c69566d
a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,507266eaa42c376f44bcb8831ec6f65f
868c6da2-4454-4f0c-999f-d4d8ac126881,3f2a46a42f002500912d1a72c31bb1e5
c58ae550-67c0-405e-8c72-c5c52c190c99,4f2b2ec0df16270a80017dda345f8570
c58ae550-67c0-405e-8c72-c5c52c190c99,2fbd4ee396cdac223059952a7fe01e54
99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,64fb54fbf843d19f8961ab4c31fd0f8d
99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,df1206eba405fabbd25f7cc9bf18570c
99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,ee8fb1d2095b7dfae610955a339d2dcb
99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,423074fd2e0d93aeec9231b5a82ac487
99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,86024cad1e83101d97359d7351051156
99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,458cacb02c7da751043a83556a4bacf3
a2bae495-0ca1-4003-ba2c-510cb018ff3e,9f086ea60f94bd3ed1370555ba6d0158
a2bae495-0ca1-4003-ba2c-510cb018ff3e,2e159ef13f8dfa92ef061f915ad7f4ec
a2bae495-0ca1-4003-ba2c-510cb018ff3e,cb43f67955db5f4afb152e549a761571
566d4025-c085-4fe9-a614-340051fcc48e,311ae7d3f1af993400e4c27e32320ab3
920a12d5-3e93-474f-91ec-c31c79dc1e34,64fb54fbf843d19f8961ab4c31fd0f8d
920a12d5-3e93-474f-91ec-c31c79dc1e34,df1206eba405fabbd25f7cc9bf18570c
920a12d5-3e93-474f-91ec-c31c79dc1e34,3cadd4968e64af1f5a8c4f97be777b55
920a12d5-3e93-474f-91ec-c31c79dc1e34,a4adb0ff97f006fbc9e7af7ed81da417
920a12d5-3e93-474f-91ec-c31c79dc1e34,ee8fb1d2095b7dfae610955a339d2dcb
920a12d5-3e93-474f-91ec-c31c79dc1e34,39b675e470f2a614de10a93136c93f2a
920a12d5-3e93-474f-91ec-c31c79dc1e34,2c6ababcd15638e2819968f190e393ca
920a12d5-3e93-474f-91ec-c31c79dc1e34,423074fd2e0d93aeec9231b5a82ac487
920a12d5-3e93-474f-91ec-c31c79dc1e34,4c5a5e41310343629994410835eee480
920a12d5-3e93-474f-91ec-c31c79dc1e34,087a41dbccb4f4dca1f8f9f13699b7c3
920a12d5-3e93-474f-91ec-c31c79dc1e34,a25f1f06bed7d9c9d747f4fc034234d8
920a12d5-3e93-474f-91ec-c31c79dc1e34,628cb5675ff524f3e719b7aa2e88fe3f
920a12d5-3e93-474f-91ec-c31c79dc1e34,c23fdeec26eee0c543f1c1961e7365c6
920a12d5-3e93-474f-91ec-c31c79dc1e34,7a1eabc3deb7fd02ceb1e16eafc41073
920a12d5-3e93-474f-91ec-c31c79dc1e34,d364c9d122ca2061b9202649e3e1d078
920a12d5-3e93-474f-91ec-c31c79dc1e34,86024cad1e83101d97359d7351051156
bcde8db0-84cb-43ef-a072-02e973176b00,aa8af3ebe14831a7cd1b6d1383a03755
bcde8db0-84cb-43ef-a072-02e973176b00,47d1d416e4ce94ade7d14211ef3ef076
bcde8db0-84cb-43ef-a072-02e973176b00,2110bb4da3b8f6f5df9d597d9f80aeb2
b805dca1-086c-407b-84b4-c366b463e7d9,00799d28b44f295a375c4f1802dd7038
b805dca1-086c-407b-84b4-c366b463e7d9,7bb66a7d08c1f4a2837ba0f90c55db53
b805dca1-086c-407b-84b4-c366b463e7d9,9c75fdb1ec4e788212809b2f26ccf72f
b805dca1-086c-407b-84b4-c366b463e7d9,dff99aea487453e7303bd459a4123dc4
b805dca1-086c-407b-84b4-c366b463e7d9,b8570246c368c7524df3b8acd66beba5
b805dca1-086c-407b-84b4-c366b463e7d9,f09d619f1b7a792c79524e2bd1c247f4
b805dca1-086c-407b-84b4-c366b463e7d9,dfa06b52f17ca5ac94355228e0704d68
b805dca1-086c-407b-84b4-c366b463e7d9,823710c6e5ef18cb98afcdec83c0c428
b805dca1-086c-407b-84b4-c366b463e7d9,abd7d7603cf14fd8a92109be713dda21
b805dca1-086c-407b-84b4-c366b463e7d9,457f6c842390e07785cdc973b745f2c1
b805dca1-086c-407b-84b4-c366b463e7d9,b4b857cf3f74bd53785d013dd105d55b
b805dca1-086c-407b-84b4-c366b463e7d9,e732d19bf6d6930dd8ad89599c19128b
b805dca1-086c-407b-84b4-c366b463e7d9,199565b3ac8a72a8b04783c37504f079
b805dca1-086c-407b-84b4-c366b463e7d9,2d3f5e9c798f52fadf09b4e3d25dff3a
b805dca1-086c-407b-84b4-c366b463e7d9,88d31dea10deb8b751c692b8f8615823
b805dca1-086c-407b-84b4-c366b463e7d9,ea9fa9065e0a63e8c304657059fa8924
b805dca1-086c-407b-84b4-c366b463e7d9,8b4939bcf8f2d06f72b94cc1bd204569
b805dca1-086c-407b-84b4-c366b463e7d9,025e4ad3be8aa0afc003c5ed58d9709a
b805dca1-086c-407b-84b4-c366b463e7d9,28f8c35b2426481854cac606ca7b120f
b805dca1-086c-407b-84b4-c366b463e7d9,7a77602327af9ad869ce878cf9582e99
b805dca1-086c-407b-84b4-c366b463e7d9,78a4effd44e85fc2746261e627bc64e0
b805dca1-086c-407b-84b4-c366b463e7d9,e74dbc9a43dda3740b2a8b9bcc7d95d5
d1af658c-2f86-4c13-90fd-7be50e423746,3cadd4968e64af1f5a8c4f97be777b55
d1af658c-2f86-4c13-90fd-7be50e423746,a761d615e72275474c5e5a4929c1fbd3
9e4957c9-aeb7-4d9c-996d-f6aa7c1a2ea0,d02af6edb50130b1645e6d3326943df9
9e4957c9-aeb7-4d9c-996d-f6aa7c1a2ea0,e7147a23160690f53a76ba196d69173c
9e4957c9-aeb7-4d9c-996d-f6aa7c1a2ea0,68c4283db8074b12df1660b31c0220a9
9e4957c9-aeb7-4d9c-996d-f6aa7c1a2ea0,9544fa2fae515081e7fc27ef2d268642
9e4957c9-aeb7-4d9c-996d-f6aa7c1a2ea0,641ea0507d6c86157182c7800613a888
9e4957c9-aeb7-4d9c-996d-f6aa7c1a2ea0,45278a2e77a65251790d52ec2698522c
a1a0a344-01ec-49d2-a16e-17296022d5c2,44a7ee87e0bfeb642f93480ec1610869
9d0b64e5-3c11-4abb-89b5-44b83fb182a3,97c46e9ef7790b4aac5b7cf9c15ac515
9d0b64e5-3c11-4abb-89b5-44b83fb182a3,a36d13ec2cfbc67149ca9423fcbcbdcd
9d0b64e5-3c11-4abb-89b5-44b83fb182a3,9b5236b0884325cf3b92e9be934ff4f3
9d0b64e5-3c11-4abb-89b5-44b83fb182a3,0c83f57c786a0b4a39efab23731c7ebc
9d0b64e5-3c11-4abb-89b5-44b83fb182a3,205d64ff9b580aadbf4829ec41dd4ef0
9d0b64e5-3c11-4abb-89b5-44b83fb182a3,df30558412efd7df2463d972ae84b5ba
e20515dc-1931-438e-afe4-669157dc1753,009a93317a248d0fbcd664b6fa5e79e8
e20515dc-1931-438e-afe4-669157dc1753,9544fa2fae515081e7fc27ef2d268642
e20515dc-1931-438e-afe4-669157dc1753,679ac1a3996824ad757b2e842e572cb9
e20515dc-1931-438e-afe4-669157dc1753,28882724d375042a7b19db1e976cb622
e20515dc-1931-438e-afe4-669157dc1753,009a93317a248d0fbcd664b6fa5e79e8
e20515dc-1931-438e-afe4-669157dc1753,06721723b61c07cf8bd3292ee1cb39e8
e20515dc-1931-438e-afe4-669157dc1753,fed36e93a0509e20f2dc96cbbd85b678
e20515dc-1931-438e-afe4-669157dc1753,41dfabce9999260428c407d1922e2109
e30a4398-9621-498a-933b-1b44b9392ec7,3f2a46a42f002500912d1a72c31bb1e5
56bc841d-92e2-4ca0-bb54-17bac0d499fb,472510969259cb864f694705e17a3ee3
56bc841d-92e2-4ca0-bb54-17bac0d499fb,edcb3772d7c22c676c4102d481db060d
56bc841d-92e2-4ca0-bb54-17bac0d499fb,c411ea7079fe39bd7d6035350ce6884c
56bc841d-92e2-4ca0-bb54-17bac0d499fb,d8971003f1326e2951700f0c706bef6d
56bc841d-92e2-4ca0-bb54-17bac0d499fb,ac68b62abfd6a9fe26e8ac4236c8ce0c
d3428251-07c8-4a06-ae95-17a90e0c1e84,def6d90e829e50c63f98c387daecd138
d3428251-07c8-4a06-ae95-17a90e0c1e84,166737afd83fe89faffc94c635aae2b4
d3428251-07c8-4a06-ae95-17a90e0c1e84,7093813821a444336e5503b89e15685f
d3428251-07c8-4a06-ae95-17a90e0c1e84,f57b819b58f706de082d972f60bdcc5b
d3428251-07c8-4a06-ae95-17a90e0c1e84,d4ace4cf3f0c981079b5990933f4f728
d3428251-07c8-4a06-ae95-17a90e0c1e84,c5aff943fd1ef95e2caecd5006fc44d0
d3428251-07c8-4a06-ae95-17a90e0c1e84,0e4ca924cf661a87c687e10fc22b0f59
d3428251-07c8-4a06-ae95-17a90e0c1e84,7f665cd7577fab21ec5b1847c34493e2
