pricing_plan_id,app_id,feature
b65fde47-f07f-49ed-be38-a59d995f3e27,a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,25 EXA Credits (One Time)
b65fde47-f07f-49ed-be38-a59d995f3e27,a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,5 Video Generations
b65fde47-f07f-49ed-be38-a59d995f3e27,a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,15 Audio Generations
b65fde47-f07f-49ed-be38-a59d995f3e27,a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,375 Text Generations
b65fde47-f07f-49ed-be38-a59d995f3e27,a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,Up to 15 Second Video
684dbecf-b732-42bc-ad7f-9a6e533b9a24,a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,100 EXA Credits
684dbecf-b732-42bc-ad7f-9a6e533b9a24,a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,20 Video Generations
684dbecf-b732-42bc-ad7f-9a6e533b9a24,a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,60 Audio Generations
684dbecf-b732-42bc-ad7f-9a6e533b9a24,a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,1500 Text Generations
684dbecf-b732-42bc-ad7f-9a6e533b9a24,a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,Up to 15 Second Video
ac9ba1ac-c053-4428-9935-55e15c62406b,a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,200 EXA Credits
ac9ba1ac-c053-4428-9935-55e15c62406b,a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,40 Video Generations
ac9ba1ac-c053-4428-9935-55e15c62406b,a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,120 Audio Generations
ac9ba1ac-c053-4428-9935-55e15c62406b,a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,3000 Text Generations
ac9ba1ac-c053-4428-9935-55e15c62406b,a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,Up to 15 Second Video
695a7480-b631-4ea6-ae59-da7606040cb3,c58ae550-67c0-405e-8c72-c5c52c190c99,Automatic Government ID Check
695a7480-b631-4ea6-ae59-da7606040cb3,c58ae550-67c0-405e-8c72-c5c52c190c99,Choose minimum age for orders
695a7480-b631-4ea6-ae59-da7606040cb3,c58ae550-67c0-405e-8c72-c5c52c190c99,Fast track loyal customers
695a7480-b631-4ea6-ae59-da7606040cb3,c58ae550-67c0-405e-8c72-c5c52c190c99,Choose products that require verification
03abb825-ffbc-43ad-915d-30d7b5de5557,c58ae550-67c0-405e-8c72-c5c52c190c99,Standard features plus:
03abb825-ffbc-43ad-915d-30d7b5de5557,c58ae550-67c0-405e-8c72-c5c52c190c99,Invisible frictionless database check
03abb825-ffbc-43ad-915d-30d7b5de5557,c58ae550-67c0-405e-8c72-c5c52c190c99,Fast track loyal customers
03abb825-ffbc-43ad-915d-30d7b5de5557,c58ae550-67c0-405e-8c72-c5c52c190c99,Automate decision workflows
8424c195-6c08-490b-81e8-73be6c025678,99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,Unlimited product import
9f28ea84-bac6-4948-ac80-aa67d84c86b1,99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,Unlimited product import
9f28ea84-bac6-4948-ac80-aa67d84c86b1,99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,Manual Sync and Reimport
f1e95514-2b64-432a-9443-571e1e435019,99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,Unlimited product import
f1e95514-2b64-432a-9443-571e1e435019,99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,Manual Sync And Reimport
f1e95514-2b64-432a-9443-571e1e435019,99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,Import 1000 Amazon Reviews
f1e95514-2b64-432a-9443-571e1e435019,99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,Auto Sync Service
f1e95514-2b64-432a-9443-571e1e435019,99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,1000 Bulk Import
f1e95514-2b64-432a-9443-571e1e435019,99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,Product Export
8220fc53-e1df-48bf-ba29-76749903385f,99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,Unlimited product import
8220fc53-e1df-48bf-ba29-76749903385f,99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,Manual Sync and Reimport
8220fc53-e1df-48bf-ba29-76749903385f,99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,Import 2500 Amazon Reviews
8220fc53-e1df-48bf-ba29-76749903385f,99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,Auto Sync Service
8220fc53-e1df-48bf-ba29-76749903385f,99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,2500  Bulk Imports
8220fc53-e1df-48bf-ba29-76749903385f,99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,Product Export
1a586841-f59b-4122-bdc1-73fabd88011b,920a12d5-3e93-474f-91ec-c31c79dc1e34,Max import rows 100
1a586841-f59b-4122-bdc1-73fabd88011b,920a12d5-3e93-474f-91ec-c31c79dc1e34,Max export rows 100
